Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
nrk.no;155400000;155381922.0;0.11;4.55;777686;61.42;0.65;22.08;8.48;7.36;0.0;0.01;160.68.205.231;;
omelete.uol.com.br;73300000;73264320.0;0.02;3.81;55827;28.31;1.33;17.11;29.66;23.35;0.0;0.25;200.147.4.47;200.147.36.53;
onlainfilm.ucoz.ua;140700000;140724600.0;0.21;1.92;567401;27.22;0.23;10.27;1.44;60.61;0.0;0.23;193.109.246.87;;
online-freebee.ru;37100000;37067196.0;0.2;2.11;156423;19.06;0.26;9.42;0.94;69.83;0.0;0.49;104.24.99.128;104.24.98.128;
onlinemoviewatchs.com;46700000;46723728.0;0.64;2.86;855231;25.41;0.25;14.16;1.15;56.93;0.0;2.11;104.31.86.80;104.31.87.80;
onlinemultfilmy.ru;171300000;171339192.0;0.1;2.71;464329;20.19;0.14;13.03;1.39;65.11;0.0;0.14;185.48.56.7;;
ontvtime.ru;75800000;75779646.0;0.71;3.54;1904645;38.29;0.99;33.92;2.53;24.22;0.0;0.05;178.218.212.86;46.165.229.240;
pbs.org;175800000;175763478.0;0.29;2.52;1284479;34.28;1.16;13.03;11.44;40.0;0.02;0.07;23.21.237.247;;
peliculasflv.tv;65099999;65055378.0;0.24;3.72;580814;13.9;0.05;9.86;1.24;74.06;0.0;0.89;178.132.78.130;;
pelis24.com;214600000;214563774.0;0.22;3.81;1798473;27.63;0.23;16.8;1.8;51.79;0.0;1.74;104.20.63.120;104.20.57.120;
pelispedia.tv;138200000;138206568.0;0.15;4.62;957771;46.42;0.46;25.78;2.67;23.74;0.0;0.93;104.20.72.45;104.20.71.45;
phim14.net;109600000;109608288.0;0.03;3.68;121007;43.63;0.42;27.78;5.25;22.45;0.0;0.46;104.25.193.26;104.25.192.26;
phimmoi.net;216700000;216729756.0;0.03;4.23;275030;47.72;0.28;24.27;3.4;24.12;0.0;0.21;125.212.241.188;;
photobucket.com;374700000;374687874.0;1.62;7.27;44128489;25.77;0.43;23.34;8.58;41.52;0.06;0.3;209.17.80.100;209.17.68.100;
pianetadonna.it;58400000;58432728.0;92.61;4.34;234857144;6.08;0.04;1.29;28.26;64.14;0.0;0.19;151.1.175.103;;
popcorntv.it;33500000;33486228.0;98.62;4.53;149599254;12.12;0.52;32.09;1.42;6.67;0.0;47.18;46.30.247.165;;
powvideo.net;108300000;108276138.0;0.26;2.45;689718;7.84;0.28;86.35;1.88;0.66;0.0;3.0;104.28.12.91;104.28.13.91;
pptv.com;83300000;83331606.0;0.04;2.35;78331;17.77;0.12;44.53;0.61;36.96;0.0;0.01;180.153.106.25;180.153.106.24;
programme-tv.net;337500000;337540542.0;0.14;3.09;1460200;43.95;2.45;15.8;3.39;34.04;0.0;0.37;31.15.25.40;;
programmitv.it;14500000;14499750.0;97.85;1.12;15890566;46.5;0.11;1.97;0.12;51.21;0.0;0.1;212.71.249.234;;
rai.it;77300000;77338494.0;86.15;7.16;477050126;36.08;0.79;18.86;4.54;39.65;0.0;0.07;212.162.68.90;;
rai.tv;92300000;92341020.0;88.35;4.17;340202324;32.76;0.58;31.03;4.8;30.71;0.0;0.12;212.162.68.90;;
rapidvideo.org;26700000;26658192.0;91.22;2.56;62253063;62.12;0.19;35.81;0.7;0.36;0.0;0.82;104.27.156.23;104.27.157.23;
re-direcciona.me;39300000;39295236.0;0.29;4.75;541291;5.11;0.6;88.83;2.67;1.48;0.0;1.31;104.24.1.36;104.24.0.36;
redbox.com;119600000;119609316.0;0.03;4.45;159678;59.93;3.16;8.57;0.79;26.35;1.15;0.05;206.18.125.29;;
registroelettronico.com;17100000;17103192.0;99.79;4.87;83117630;48.6;0.88;44.8;0.61;4.74;0.0;0.38;109.168.108.171;;
ren.tv;159400000;159444648.0;0.23;1.67;612426;28.13;0.57;60.73;4.68;5.64;0.0;0.25;91.218.132.100;;
repelis.tv;236300000;236280114.0;0.22;4.78;2484721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.20.89.80;104.20.88.80;
rockol.it;11600000;11608506.0;90.17;2.7;28261952;10.02;0.83;6.44;12.53;70.12;0.0;0.06;91.212.167.45;;
rottentomatoes.com;365500000;365496114.0;0.95;2.92;10138862;38.54;0.35;8.57;1.91;50.57;0.0;0.05;52.41.154.179;54.149.168.205;52.27.77.35
rtl.it;6000000;6036588.0;90.55;3.11;16999665;48.95;0.47;8.14;5.37;36.67;0.0;0.4;88.60.43.150;;
russia.tv;100900000;100851816.0;0.6;2.39;1446215;31.05;0.64;24.43;2.01;41.78;0.0;0.09;80.247.32.208;;
rutube.ru;205700000;205694310.0;0.4;3.53;2904403;19.81;0.55;35.03;4.46;39.89;0.0;0.27;91.207.59.161;;
scambiofile.info;8700000;8685288.0;96.71;3.39;28474447;60.84;0.37;6.61;0.36;31.35;0.0;0.47;46.30.212.64;;
scoop.it;54400000;54415284.0;2.78;2.23;3373421;41.77;0.91;9.73;10.96;36.59;0.01;0.03;185.94.140.20;;
seasonvar.ru;718800000;718755174.0;0.45;2.17;7018644;50.94;0.61;21.07;2.72;24.6;0.0;0.06;178.236.137.154;178.236.137.156;178.236.137.157
sensacine.com;86300000;86272680.0;0.16;2.82;389262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.39.143.50;;
serietvsubita.net;16900000;16850502.0;92.37;1.98;30818321;76.44;0.3;15.93;3.87;3.34;0.0;0.12;81.17.27.98;;
shutterstock.com;344600000;344566104.0;1.86;6.97;44670238;32.33;1.84;33.19;2.12;27.84;2.3;0.37;162.212.41.11;;
sidereel.com;83600000;83613720.0;0.56;2.39;1119086;35.45;0.94;13.22;2.53;47.63;0.0;0.22;173.247.105.225;;
sky.com;353900000;353894700.0;0.26;3.51;3229643;49.26;3.51;14.35;8.05;23.33;1.05;0.46;90.216.128.5;;
sky.it;92900000;92851404.0;94.54;4.34;380972653;31.58;3.19;29.06;5.15;29.21;0.54;1.27;185.26.140.70;185.26.142.70;185.26.142.195
skyonline.it;7300000;7262034.0;95.52;4.33;30035888;30.42;3.32;20.34;1.62;38.9;0.87;4.54;185.26.142.73;;
soundcloud.com;2100000000;2117778714.0;1.18;4.17;104207419;54.23;0.54;8.46;20.69;15.92;0.0;0.15;93.184.220.127;;
soundsblog.it;14700000;14730702.0;93.26;1.26;17309694;9.7;0.01;2.76;2.32;85.15;0.0;0.05;52.48.241.167;54.77.47.85;
spotify.com;1100000000;1135002504.0;2.04;4.49;103961689;69.66;0.59;7.29;5.61;16.2;0.49;0.17;194.132.198.228;194.132.197.147;194.132.198.165
startv.com.tr;105300000;105315906.0;0.01;5.74;0;24.76;0.24;20.24;5.86;48.54;0.13;0.23;81.21.172.22;;
staseraintv.com;90100000;90121272.0;97.36;4.65;408000627;55.1;0.63;6.98;0.86;36.35;0.0;0.08;62.149.128.160;62.149.128.154;62.149.128.157
stream.cz;94500000;94490466.0;0.04;3.62;136822;30.13;1.69;57.85;5.71;4.52;0.01;0.09;77.75.77.220;;
streamay.com;44500000;44469168.0;0.41;3.74;681890;37.23;0.29;22.67;1.34;38.07;0.0;0.4;104.25.156.114;104.25.155.114;
streamcomplet.com;115100000;115140120.0;0.39;4.81;2159913;31.21;0.22;16.17;1.12;50.81;0.0;0.46;104.18.39.96;104.18.38.96;
subscene.com;402500000;402494340.0;0.61;4.89;12006003;58.75;0.44;25.92;1.76;12.45;0.0;0.69;104.24.6.4;104.24.7.4;
subsfactory.it;8000000;7974582.0;95.25;2.59;19673094;73.85;0.35;10.83;1.9;12.97;0.0;0.1;94.23.17.163;;
telecinco.es;139700000;139707060.0;0.37;2.73;1411181;37.85;0.41;9.96;12.76;38.36;0.0;0.66;213.4.97.111;;
televisionfanatic.com;126500000;126473238.0;1.23;1.32;2053419;29.34;0.15;21.19;1.05;2.56;1.12;44.59;74.113.234.61;;
testitradotti.it;11100000;11111340.0;95.62;2.01;21355573;4.16;0.11;0.88;0.34;94.48;0.0;0.03;217.70.144.80;;
tf1.fr;191900000;191861166.0;0.15;3.71;1067707;26.15;0.58;17.37;12.1;43.69;0.01;0.1;185.22.116.72;;
thepiratebay.org;289700000;289724316.0;0.01;5.82;0;62.79;0.35;16.64;1.34;18.6;0.0;0.27;104.18.41.167;104.18.40.167;
thepiratefilmes.com;63500000;63548592.0;0.03;5.28;100660;62.12;0.28;6.87;2.69;27.05;0.01;0.97;104.28.16.26;104.28.17.26;
thesportstream.com;41900000;41946954.0;17.61;2.19;16177220;3.59;0.09;94.27;0.67;0.94;0.0;0.43;193.150.132.3;;
ticketone.it;21600000;21617934.0;89.01;5.36;103137779;20.91;2.96;22.18;5.89;41.95;5.75;0.36;95.101.78.139;95.101.78.192;
tnt-online.ru;139000000;139040802.0;0.25;2.99;1039329;23.88;0.83;29.95;4.78;40.38;0.0;0.18;178.248.232.36;;
todaypk.com;52400000;52364466.0;0.21;2.99;328796;24.23;0.11;7.38;0.82;66.24;0.0;1.22;104.31.74.181;104.31.75.181;
tpi.it;12800000;12837672.0;86.21;9.22;102041031;8.64;0.15;1.86;76.13;13.1;0.0;0.11;104.28.2.197;104.28.3.197;
trucchifacebook.com;5600000;5571894.0;89.3;1.61;8010879;40.16;0.44;2.22;4.86;52.31;0.0;0.01;37.139.28.187;;
tudou.com;331300000;331287438.0;0.09;3.23;963052;29.76;0.15;39.44;3.87;26.62;0.0;0.16;123.126.98.150;123.126.98.147;123.126.98.151
turkcealtyazi.org;46100000;46144284.0;0.05;4.95;114207;52.33;0.23;15.2;0.68;31.5;0.0;0.05;104.18.45.61;104.18.44.61;
tv.com;145900000;145892022.0;0.75;2.3;2516637;37.01;0.35;8.15;1.04;53.38;0.0;0.07;23.23.89.103;23.23.90.136;
tvblog.it;13200000;13223556.0;93.26;2.43;29967460;31.84;0.05;4.74;12.56;50.75;0.0;0.07;54.77.47.85;52.48.241.167;
tvguide.com;186200000;186185832.0;0.19;2.55;902070;59.11;0.7;6.71;3.06;29.13;0.01;1.28;64.30.228.101;;
tvmuse.com;90300000;90330264.0;0.42;3.63;1377175;50.28;0.71;33.07;2.11;13.6;0.0;0.24;91.192.111.188;;
tvzvezda.ru;155400000;155374116.0;0.23;1.76;628954;33.66;0.32;50.22;9.61;6.17;0.0;0.02;178.248.234.76;;
tzetze.it;5600000;5594508.0;95.16;2.63;14001419;15.79;0.05;1.6;78.51;3.73;0.0;0.32;151.1.253.10;;
ultimate-guitar.com;352500000;352468380.0;2.51;3.82;33795373;30.87;0.34;7.61;3.91;57.23;0.0;0.04;178.18.22.179;;
umblr.com;461300000;461294040.0;1.76;1.84;14938546;47.69;0.11;50.12;0.96;0.87;0.0;0.25;72.32.231.8;;
upyim.com;65200000;65244462.0;0.01;1.65;0;2.96;0.0;0.69;93.81;2.2;0.0;0.34;104.28.28.51;104.28.29.51;
ustream.tv;131699999;131704998.0;1.29;2.25;3822737;44.04;0.51;17.27;11.0;26.9;0.07;0.21;104.156.85.204;23.235.33.204;104.156.81.204
uzone.id;135100000;135064482.0;0.01;3.79;0;29.65;0.6;56.4;1.89;6.27;0.0;5.19;118.97.116.10;;
vanityfair.it;23800000;23815872.0;89.71;1.84;39312002;13.26;0.56;3.97;34.67;44.32;2.41;0.81;52.51.185.234;54.194.216.134;
vidto.me;244700000;244716762.0;24.98;2.27;138765661;8.63;0.27;76.32;2.01;0.41;0.0;12.36;46.28.203.11;179.43.170.153;
vimeo.com;1200000000;1246292256.0;2.0;4.46;111169269;28.86;3.19;20.52;17.32;29.09;0.67;0.35;104.156.81.217;104.156.85.217;23.235.33.217
vodlocker.com;455100000;455071764.0;0.71;2.72;8788345;13.61;0.34;80.74;1.47;2.47;0.0;1.38;104.25.105.13;104.25.104.13;
vvvvid.it;12400000;12436452.0;98.74;6.08;74660896;68.82;0.64;6.4;2.12;21.28;0.0;0.74;62.149.128.166;;
watchseries.li;259899999;259949142.0;0.87;4.8;10855476;33.53;0.62;31.88;1.87;31.88;0.0;0.22;104.31.86.125;104.31.87.125;
weeb.tv;90100000;90139872.0;0.25;3.44;775202;67.95;0.22;18.28;0.86;12.65;0.0;0.03;199.83.130.107;149.126.77.100;
wittytv.it;38500000;38535540.0;87.87;3.04;102937984;17.8;0.41;53.92;4.81;22.63;0.0;0.44;217.29.164.121;;
xunlei.com;129600000;129557496.0;0.09;3.22;375457;36.18;1.16;45.78;0.61;16.13;0.1;0.04;182.118.18.100;119.188.108.240;
yify-torrent.org;112500000;112469472.0;0.01;4.91;0;57.81;0.49;10.34;0.87;30.36;0.0;0.13;104.28.13.32;104.28.12.32;
yify.tv;49600000;49586298.0;0.42;3.43;714340;72.71;0.43;18.62;1.1;6.97;0.0;0.17;104.18.62.185;104.18.63.185;
youku.com;1300000000;1272481998.0;0.05;3.7;2354091;36.56;0.29;40.23;2.87;19.9;0.13;0.03;119.167.145.19;183.61.116.211;123.126.99.31
youtube-mp3.org;2200000000;2215542306.0;2.16;3.03;145002812;44.16;0.01;0.92;0.33;54.29;0.0;0.3;104.20.94.121;104.20.95.121;
youtube.com;128500000000;128468870046.0;1.49;11.07;21190040831;45.25;11.14;14.99;5.72;22.72;0.01;0.17;216.58.198.14;;
zalukaj.com;167700000;167741376.0;0.1;4.95;830319;50.79;0.19;25.02;1.07;22.84;0.0;0.09;104.31.94.102;104.31.95.102;
zap2it.com;111300000;111260184.0;0.43;2.3;1100363;58.8;1.39;18.52;3.72;17.54;0.0;0.04;192.0.79.32;192.0.79.33;
zdf.de;163500000;163498650.0;0.73;3.38;4034165;57.89;0.08;11.85;2.42;27.75;0.0;0.02;91.197.29.78;;
zfilm-hd.net;66500000;66534402.0;0.38;2.5;632076;40.43;0.51;22.68;4.21;31.76;0.0;0.42;185.48.56.143;;
zhanqi.tv;89200000;89153220.0;0.06;3.56;190431;58.13;0.09;24.82;1.46;15.5;0.0;0.0;112.124.44.92;;
zone-telechargement.com;639600000;639585174.0;0.01;5.54;0;67.11;0.51;18.39;0.74;13.07;0.0;0.19;104.31.156.4;104.31.157.4;
