Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
cbs.com;178500000;178542720.0;0.37;2.94;1942187;35.77;1.35;21.48;15.96;23.18;1.22;1.04;64.30.228.50;64.30.228.49;
cc.com;118900000;118915734.0;0.56;3.19;2124310;38.42;0.77;13.73;19.05;27.59;0.26;0.18;69.58.186.114;;
cda.pl;476300000;476309772.0;0.13;3.52;2179593;25.63;0.27;22.85;1.87;49.27;0.0;0.11;104.20.12.130;104.20.11.130;
ceskatelevize.cz;81000000;81030318.0;0.08;3.27;211975;44.21;0.58;18.68;9.87;26.61;0.0;0.05;212.47.2.209;;
channel4.com;100700000;100738068.0;0.23;3.01;697409;35.53;0.66;19.31;3.38;41.09;0.01;0.02;83.98.28.10;;
cima4u.tv;82900000;82902468.0;0.47;5.07;1975482;41.22;0.14;24.69;3.01;30.14;0.0;0.8;104.25.51.117;104.25.52.117;
cineblog01hd.net;4900000;4891968.0;93.52;2.92;13358907;36.7;0.29;59.82;0.57;2.19;0.0;0.43;104.28.26.38;104.28.27.38;
cinecalidad.com;64700000;64670598.0;0.16;4.92;509086;62.2;0.14;9.28;1.3;25.43;0.0;1.66;104.27.148.191;104.27.149.191;
cinefilmesonline.net;47200000;47200458.0;0.06;3.28;92890;23.37;0.26;14.72;1.39;59.53;0.0;0.73;104.24.113.166;104.24.112.166;
cinemablend.com;220500000;220483542.0;0.63;2.07;2875325;21.98;0.22;3.65;13.09;61.01;0.0;0.04;104.16.58.105;104.16.61.105;
cinematrix.net;51400000;51440664.0;0.74;2.06;784161;6.78;0.13;73.0;0.98;0.67;0.0;18.44;104.24.6.60;104.24.7.60;
comingsoon.it;32100000;32124348.0;94.73;2.46;74861231;18.75;0.21;13.79;5.39;59.67;1.58;0.62;46.37.7.87;;
crunchyroll.com;221100000;221104812.0;0.76;3.73;6267879;44.91;0.98;27.88;8.28;17.29;0.53;0.13;104.20.18.239;104.20.19.239;
dailymotion.com;2400000000;2379124014.0;2.12;2.89;145764170;17.99;0.31;27.11;7.59;46.4;0.0;0.61;195.8.215.136;;
dardarkom.com;50500000;50544168.0;0.51;4.02;1036256;36.66;0.1;14.18;2.7;44.96;0.0;1.4;104.18.40.62;104.18.41.62;
ddlvillage.org;8600000;8587758.0;94.82;5.78;47066032;71.4;1.1;21.91;1.2;4.37;0.0;0.02;185.63.252.202;;
deejay.it;23300000;23320140.0;90.29;2.1;44217084;38.53;0.88;9.09;30.22;21.07;0.0;0.21;52.19.91.183;52.19.87.98;
deezer.com;297200000;297169932.0;1.7;4.42;22329348;71.58;0.42;7.71;2.8;17.32;0.09;0.07;78.40.123.183;78.40.123.182;
deviantart.com;1100000000;1133546148.0;1.67;14.25;269755644;47.71;0.57;17.7;11.62;21.83;0.0;0.56;54.230.25.150;54.230.25.134;54.230.25.22
deviantart.net;325100000;325099002.0;1.6;1.97;10247120;19.95;0.02;13.56;16.13;50.23;0.0;0.1;52.40.138.0;52.27.162.29;
discogs.com;209300000;209295918.0;3.65;9.93;75858258;36.2;0.91;16.12;2.47;44.29;0.0;0.02;216.151.17.130;;
divxtotal.com;122200000;122204196.0;0.11;4.62;621041;69.31;0.26;8.12;0.36;21.6;0.0;0.35;188.95.248.35;;
dizibox.com;159200000;159201858.0;0.08;2.82;359159;52.08;0.45;25.99;1.95;19.44;0.0;0.09;104.24.3.2;104.24.2.2;
dizipub.com;103300000;103289898.0;0.03;2.79;86453;32.71;0.33;33.76;1.8;30.3;0.0;1.1;104.20.56.21;104.20.55.21;
doramatv.ru;67900000;67864242.0;0.17;4.41;508778;24.27;0.76;49.02;6.52;19.32;0.0;0.1;91.121.156.147;;
download.televisionfanatic.com;126700000;126725472.0;1.23;1.32;2057514;29.28;0.15;21.21;1.05;2.51;1.12;44.67;74.113.235.138;;
dplay.com;12100000;12139482.0;95.3;2.75;31814547;22.48;0.58;45.71;4.55;24.5;0.0;2.18;185.26.230.129;;
dr.dk;114200000;114223128.0;0.13;4.46;662265;63.69;0.7;18.01;8.13;9.46;0.0;0.01;159.20.6.38;;
dramafever.com;128600000;128558502.0;0.01;2.81;0;29.58;1.4;37.23;10.1;20.8;0.58;0.31;54.209.135.220;52.2.252.224;54.164.236.11
dreamstime.com;152400000;152431608.0;2.83;3.23;13933620;21.01;0.39;5.61;1.34;69.5;1.49;0.66;50.23.192.82;;
el7l.co;46200000;46238052.0;0.32;3.95;584448;29.57;0.09;15.4;2.51;50.39;0.0;2.03;50.63.202.5;;
eonline.com;312500000;312541356.0;0.49;2.59;3966462;21.15;0.36;6.79;22.16;48.37;0.01;1.15;70.39.36.220;;
eurostreaming.tv;95800000;95846754.0;92.81;2.48;220609323;43.82;0.37;11.82;1.07;42.65;0.0;0.27;104.20.85.130;104.20.84.130;
